train_size,batch_size,epochs,num_points,lr,dropout
350,8,200,50000,0.001,0.1
250,8,200,50000,0.001,0.1
200,8,200,50000,0.001,0.1
150,8,200,50000,0.001,0.1
50,8,200,50000,0.001,0.1
350,8,200,20000,0.001,0.1
350,8,200,50000,0.001,0.1
350,8,200,75000,0.001,0.1
350,8,200,100000,0.001,0.1
350,8,200,150000,0.001,0.1
350,8,200,200000,0.001,0.1
350,8,200,250000,0.001,0.1
