Model Arc,Model,dataset,training_size,validation_size,test_size,num_points,lr,batch_size,epochs,dropout,emb_dims,optimizer,Train Best MSE,Best model R2,Test MSE,Test MAE,Test Max MAE,Test R2,best_model
PointNet,RegPointNet,WindsorML,200,75,75,60000,0.001,8,200,0.1,1024,adam,0.0008993396501561,-0.6218594312667847,0.0020060655531576,0.0284027341339323,0.0389529876410961,-3.1482138633728027,20250305_batch_train_size_200_WindsorML_PointNet_RegPointNet_ts200_bs8_epochs200_pts60000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,WindsorML,200,75,75,80000,0.001,8,200,0.1,1024,adam,0.0005579483080914,-0.7815918922424316,0.0016848623894879,0.0276033269862333,0.0375763028860092,-3.955410957336426,20250305_batch_train_size_200_WindsorML_PointNet_RegPointNet_ts200_bs8_epochs200_pts80000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,WindsorML,200,75,75,100000,0.001,8,200,0.1,1024,adam,0.0006293302544185,-4.503875255584717,0.0018624962669693,0.0272868283920817,0.0375543385744094,-13.448765754699709,20250305_batch_train_size_200_WindsorML_PointNet_RegPointNet_ts200_bs8_epochs200_pts100000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,WindsorML,200,75,75,110000,0.001,8,200,0.1,1024,adam,0.0018311418890435,-1.5327377319335938,0.0022456188518036,0.033157510889901,0.0475726164877414,-2.0234436988830566,20250305_batch_train_size_200_WindsorML_PointNet_RegPointNet_ts200_bs8_epochs200_pts110000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,WindsorML,200,75,75,120000,0.001,8,200,0.1,1024,adam,0.0003929721723478,0.1314343810081482,0.0013620646398824,0.0235934745934274,0.0302492305636405,-2.0159270763397217,20250305_batch_train_size_200_WindsorML_PointNet_RegPointNet_ts200_bs8_epochs200_pts120000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,WindsorML,200,75,75,130000,0.001,8,200,0.1,1024,adam,0.0004295888971278,0.2264288067817688,0.001656515258623,0.0251785847875807,0.0374049544334411,-2.0669848918914795,20250305_batch_train_size_200_WindsorML_PointNet_RegPointNet_ts200_bs8_epochs200_pts130000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,WindsorML,200,75,75,140000,0.001,8,200,0.1,1024,adam,0.000717030178445,-2.1562628746032715,0.0016958783801075,0.0288059040904045,0.0400176532566547,-5.155835151672363,20250305_batch_train_size_200_WindsorML_PointNet_RegPointNet_ts200_bs8_epochs200_pts140000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,WindsorML,200,75,75,150000,0.001,8,200,0.1,1024,adam,0.000724966464784,-0.9772777557373048,0.0017983795842155,0.0300612027446428,0.041410069912672,-3.3029160499572754,20250305_batch_train_size_200_WindsorML_PointNet_RegPointNet_ts200_bs8_epochs200_pts150000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,DrivAerML,200,75,75,10000,0.001,8,200,0.1,1024,adam,0.0196607007334629,-9.24521255493164,0.0259546449200974,0.1491857278678152,0.1870640367269516,-11.934926986694336,20250305_batch_train_size_200_DrivAerML_PointNet_RegPointNet_ts200_bs8_epochs200_pts10000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,DrivAerML,200,75,75,20000,0.001,8,200,0.1,1024,adam,0.004811697691265,-47.77789688110352,0.0056733698584139,0.0727583815654118,0.0904211699962616,-30.57193756103516,20250305_batch_train_size_200_DrivAerML_PointNet_RegPointNet_ts200_bs8_epochs200_pts20000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,DrivAerML,200,75,75,30000,0.001,8,200,0.1,1024,adam,0.0387829175839821,-15.550260543823242,0.0316251886801587,0.1672352717982398,0.2067669928073883,-9.274105072021484,20250305_batch_train_size_200_DrivAerML_PointNet_RegPointNet_ts200_bs8_epochs200_pts30000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,DrivAerML,200,75,75,40000,0.001,8,200,0.1,1024,adam,0.7499048378732469,-140.26991271972656,0.7585295107629564,0.8673389024204678,0.9052775502204896,-143.9205780029297,20250305_batch_train_size_200_DrivAerML_PointNet_RegPointNet_ts200_bs8_epochs200_pts40000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,DrivAerML,200,75,75,50000,0.001,8,200,0.1,1024,adam,0.0003078976620195,-2.9825029373168945,0.0004357417427753,0.0173278546167744,0.0256191156804561,-2.452122449874878,20250305_batch_train_size_200_DrivAerML_PointNet_RegPointNet_ts200_bs8_epochs200_pts50000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,DrivAerML,200,75,75,60000,0.001,8,200,0.1,1024,adam,0.0006830810323461062,-0.5617351531982422,0.0008203043705887265,0.023174779696596995,0.03020552173256874,-0.08374190330505371,20250305_batch_train_size_200_DrivAerML_PointNet_RegPointNet_ts200_bs8_epochs200_pts60000_lr0.001_drop0.1_best_model.pth
