Dataset,Model Arc,Model,training_size,validation_size,test_size,num_points,lr,batch_size,epochs,dropout,emb_dims,optimizer,Train Best MSE,Test MSE,Test MAE,Test Max MAE,Test R2,best_model
AhmedML,PointNet,RegPointNet,50,75,75,100000,0.001,8,200,0.1,1024,adam,0.0114957603315512,0.0132161744145883,0.0909277258647812,0.1309157609939575,-1.0801503658294678,20250302_cd_AhmedML_PointNet_RegPointNet_ts50_bs8_epochs200_pts100000_lr0.001_drop0.1_best_model.pth
AhmedML,PointNet,RegPointNet,100,75,75,100000,0.001,8,200,0.1,1024,adam,0.0086474001614583,0.0077424611016694,0.0701590213510725,0.0919821560382843,-0.3841077089309692,20250302_cd_AhmedML_PointNet_RegPointNet_ts100_bs8_epochs200_pts100000_lr0.001_drop0.1_best_model.pth
AhmedML,PointNet,RegPointNet,150,75,75,100000,0.001,8,200,0.1,1024,adam,0.0030058538670548,0.0045800693203798,0.0525503518680731,0.0735218003392219,-26.54142189025879,20250302_cd_AhmedML_PointNet_RegPointNet_ts150_bs8_epochs200_pts100000_lr0.001_drop0.1_best_model.pth
AhmedML,PointNet,RegPointNet,200,75,75,100000,0.001,8,200,0.1,1024,adam,0.0027612562343064,0.0044374205172061,0.0531733487215307,0.0738204568624496,-62.77938079833984,20250302_cd_AhmedML_PointNet_RegPointNet_ts200_bs8_epochs200_pts100000_lr0.001_drop0.1_best_model.pth
AhmedML,PointNet,RegPointNet,250,75,75,100000,0.001,8,200,0.1,1024,adam,0.0028835334297683,0.004142966806992,0.0510729793459177,0.0730265453457832,-15.081106185913086,20250302_cd_AhmedML_PointNet_RegPointNet_ts250_bs8_epochs200_pts100000_lr0.001_drop0.1_best_model.pth
AhmedML,PointNet,RegPointNet,300,75,75,100000,0.001,8,200,0.1,1024,adam,0.0034164955141022,0.0059604555782344,0.0610107320050398,0.0865582823753357,-6.380733966827393,20250302_cd_AhmedML_PointNet_RegPointNet_ts300_bs8_epochs200_pts100000_lr0.001_drop0.1_best_model.pth
AhmedML,PointNet,RegPointNet,350,75,75,100000,0.001,8,200,0.1,1024,adam,0.006035650860414737,0.006924938798571627,0.06661928486492899,0.08394233137369156,-1.2103667259216309,20250302_cd_AhmedML_PointNet_RegPointNet_ts350_bs8_epochs200_pts100000_lr0.001_drop0.1_best_model.pth
