Model Arc,Model,dataset,training_size,validation_size,test_size,num_points,lr,batch_size,epochs,dropout,emb_dims,optimizer,Train Best MSE,Best model R2,Test MSE,Test MAE,Test Max MAE,Test R2,best_model
PointNet,RegPointNet,AhmedML,20,75,75,100000,0.001,8,200,0.1,1024,adam,0.0107006264022654,-0.9375951290130616,0.0158342914655804,0.1060840263962745,0.1556318700313568,-1.4827642440795898,20250305_cd_AhmedML_PointNet_RegPointNet_ts20_bs8_epochs200_pts100000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,WindsorML,60,75,75,100000,0.001,8,200,0.1,1024,adam,0.0020127206096529,-0.615202784538269,0.0035466098084321,0.0417353519135051,0.0544861033558845,-2.4402942657470703,20250305_cd_WindsorML_PointNet_RegPointNet_ts60_bs8_epochs200_pts100000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,WindsorML,80,75,75,100000,0.001,8,200,0.1,1024,adam,0.000848376748359,-0.4481229782104492,0.0016438831614019,0.0274454760882589,0.0384661331772804,-2.3185322284698486,20250305_cd_WindsorML_PointNet_RegPointNet_ts80_bs8_epochs200_pts100000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,WindsorML,100,75,75,100000,0.001,8,200,0.1,1024,adam,0.0007135165570717,-1.6316325664520264,0.001763366938879,0.0291868084006839,0.0401797704398632,-5.3704352378845215,20250305_cd_WindsorML_PointNet_RegPointNet_ts100_bs8_epochs200_pts100000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,WindsorML,120,75,75,100000,0.001,8,200,0.1,1024,adam,0.0013723011749486,-31.80552673339844,0.0030651308932445,0.0377922943896717,0.0510273277759552,-64.73252868652344,20250305_cd_WindsorML_PointNet_RegPointNet_ts120_bs8_epochs200_pts100000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,WindsorML,140,75,75,100000,0.001,8,200,0.1,1024,adam,0.0039673089308457,-13.383259773254396,0.0066419474573598,0.0647108393410841,0.0822338759899139,-22.718406677246094,20250305_cd_WindsorML_PointNet_RegPointNet_ts140_bs8_epochs200_pts100000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,WindsorML,180,75,75,100000,0.001,8,200,0.1,1024,adam,0.0004806399811059,-1.0188753604888916,0.0015595269150152,0.025526452395651,0.0354116335511207,-4.56259298324585,20250305_cd_WindsorML_PointNet_RegPointNet_ts180_bs8_epochs200_pts100000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,WindsorML,160,75,75,100000,0.001,8,200,0.1,1024,adam,0.0008859007599918,-0.311038613319397,0.0017190189036126,0.0299181449744436,0.0417889095842838,-1.246236801147461,20250305_cd_WindsorML_PointNet_RegPointNet_ts160_bs8_epochs200_pts100000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,WindsorML,200,75,75,100000,0.001,8,200,0.1,1024,adam,0.0006169842470424,-0.8898172378540039,0.0015927815434729,0.0280271048347155,0.0359202809631824,-3.1291074752807617,20250305_cd_WindsorML_PointNet_RegPointNet_ts200_bs8_epochs200_pts100000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,WindsorML,20,75,75,100000,0.001,8,200,0.1,1024,adam,0.0212678702341185,-37823.46875,0.0256082074095805,0.1536339852544996,0.1724375933408737,-44366.10546875,20250305_cd_WindsorML_PointNet_RegPointNet_ts20_bs8_epochs200_pts100000_lr0.001_drop0.1_best_model.pth
