,100%_best,100%_final
MSE,0.0056709530763328075,0.011037393007427454
MAE,0.06146558001637459,0.0850166380405426
Max MAE,0.06160846725106239,0.09134866297245026
R2,tensor(-1.2713),tensor(-3.8093)
